seed,method,classifier,macro_f1,accuracy,precision_macro,recall_macro,fit_time_seconds,predict_time_seconds,total_time_seconds,classifier_only_total_time_seconds,reduction_runtime_seconds,input_feature_count,output_feature_count,feature_reduction_ratio,ga_variant,ga_best_cv_macro_f1,fitness_classifier,fitness_metric,population_size,generations,cxpb,mutpb,mutation_indpb,tournament_size,nca_components
42,baseline,Logistic Regression,0.933538,0.92141,0.935383,0.932149,0.495034,0.000709,0.495743,0.495743,0.0,16,16,0.0,,,,,,,,,,,
42,baseline,Random Forest,0.932108,0.919941,0.933855,0.930563,11.483254,0.075662,11.558916,11.558916,0.0,16,16,0.0,,,,,,,,,,,
42,baseline,SVM,0.934297,0.922145,0.935937,0.932952,0.590945,0.337343,0.928288,0.928288,0.0,16,16,0.0,,,,,,,,,,,
42,vanilla_ga,Logistic Regression,0.932297,0.919941,0.93422,0.930796,0.135894,0.000573,76.337371,0.136467,76.200904,16,9,0.4375,vanilla_ga,0.93584,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
42,vanilla_ga,Random Forest,0.934526,0.923246,0.936458,0.932816,8.731102,0.070494,85.0025,8.801596,76.200904,16,9,0.4375,vanilla_ga,0.93584,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
42,vanilla_ga,SVM,0.93689,0.925083,0.938447,0.935599,0.567139,0.333366,77.101409,0.900505,76.200904,16,9,0.4375,vanilla_ga,0.93584,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
42,improved_ga,Logistic Regression,0.933532,0.921043,0.935015,0.932521,0.232237,0.000617,74.416025,0.232854,74.18317,16,8,0.5,improved_ga,0.93615,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
42,improved_ga,Random Forest,0.933026,0.921043,0.934886,0.931338,6.049316,0.075206,80.307693,6.124523,74.18317,16,8,0.5,improved_ga,0.93615,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
42,improved_ga,SVM,0.937438,0.925817,0.939129,0.936002,0.539718,0.329504,75.052392,0.869222,74.18317,16,8,0.5,improved_ga,0.93615,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
42,nca,Logistic Regression,0.93286,0.920676,0.934465,0.931687,15.542481,0.000702,273.415827,15.543183,257.872644,16,6,0.625,,,,,,,,,,,6
42,nca,Random Forest,0.936121,0.924715,0.937611,0.934715,6.095274,0.073421,264.041339,6.168695,257.872644,16,6,0.625,,,,,,,,,,,6
42,nca,SVM,0.932868,0.921043,0.934506,0.931412,0.423928,0.304238,258.60081,0.728166,257.872644,16,6,0.625,,,,,,,,,,,6
52,baseline,Logistic Regression,0.936193,0.924715,0.937251,0.935412,0.475248,0.000674,0.475923,0.475923,0.0,16,16,0.0,,,,,,,,,,,
52,baseline,Random Forest,0.933128,0.921777,0.935019,0.93136,11.353022,0.072758,11.42578,11.42578,0.0,16,16,0.0,,,,,,,,,,,
52,baseline,SVM,0.939726,0.926552,0.941703,0.937933,0.625748,0.335423,0.961171,0.961171,0.0,16,16,0.0,,,,,,,,,,,
52,vanilla_ga,Logistic Regression,0.937477,0.92545,0.938292,0.936845,0.225661,0.000638,73.450174,0.226299,73.223875,16,8,0.5,vanilla_ga,0.936295,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
