seed,method,ga_variant,fitness_classifier,fitness_metric,population_size,generations,cxpb,mutpb,mutation_indpb,tournament_size,input_feature_count,selected_feature_count,feature_reduction_ratio,ga_best_cv_macro_f1,ga_runtime_seconds,fit_time_seconds,transform_time_seconds,total_time_seconds,n_components
42,vanilla_ga,vanilla_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,16,9,0.4375,0.935840048734001,76.2009036710001,,,,
42,improved_ga,improved_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,16,8,0.5,0.9361497527187869,74.18317038700025,,,,
42,nca,,,,,,,,,,16,6,0.625,,,257.872248,0.000396,257.872644,6
52,vanilla_ga,vanilla_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,16,8,0.5,0.9362948324272272,73.22387452700013,,,,
52,improved_ga,improved_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,16,8,0.5,0.9357447218660794,75.05979799500028,,,,
52,nca,,,,,,,,,,16,6,0.625,,,144.148941,0.000492,144.149433,6
62,vanilla_ga,vanilla_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,16,9,0.4375,0.9363417942179498,72.46537857699968,,,,
62,improved_ga,improved_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,16,9,0.4375,0.9362014801906348,77.78207336100058,,,,
62,nca,,,,,,,,,,16,6,0.625,,,361.271796,0.000417,361.272213,6
72,vanilla_ga,vanilla_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,16,11,0.3125,0.936892732867969,78.3180779610002,,,,
72,improved_ga,improved_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,16,7,0.5625,0.9376584630535825,69.17672212100024,,,,
72,nca,,,,,,,,,,16,6,0.625,,,290.874641,0.000423,290.875064,6
82,vanilla_ga,vanilla_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,16,8,0.5,0.937324428384567,85.55955348999942,,,,
82,improved_ga,improved_ga,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,16,9,0.4375,0.9372447332381841,76.1239490400003,,,,
82,nca,,,,,,,,,,16,6,0.625,,,177.060686,0.000407,177.061093,6
