ga_variant,feature_index,feature_name,selected_times,num_runs,selection_frequency
improved_ga,8,Extent,5,5,1.0
improved_ga,9,Solidity,5,5,1.0
improved_ga,10,roundness,5,5,1.0
improved_ga,15,ShapeFactor4,5,5,1.0
improved_ga,1,Perimeter,3,5,0.6
improved_ga,11,Compactness,3,5,0.6
improved_ga,12,ShapeFactor1,3,5,0.6
improved_ga,3,MinorAxisLength,2,5,0.4
improved_ga,4,AspectRation,2,5,0.4
improved_ga,5,Eccentricity,2,5,0.4
improved_ga,13,ShapeFactor2,2,5,0.4
improved_ga,0,Area,1,5,0.2
improved_ga,6,ConvexArea,1,5,0.2
improved_ga,7,EquivDiameter,1,5,0.2
improved_ga,14,ShapeFactor3,1,5,0.2
improved_ga,2,MajorAxisLength,0,5,0.0
vanilla_ga,8,Extent,5,5,1.0
vanilla_ga,9,Solidity,5,5,1.0
vanilla_ga,10,roundness,5,5,1.0
vanilla_ga,15,ShapeFactor4,5,5,1.0
vanilla_ga,3,MinorAxisLength,4,5,0.8
vanilla_ga,1,Perimeter,3,5,0.6
vanilla_ga,5,Eccentricity,3,5,0.6
vanilla_ga,11,Compactness,3,5,0.6
vanilla_ga,12,ShapeFactor1,3,5,0.6
vanilla_ga,0,Area,2,5,0.4
vanilla_ga,4,AspectRation,2,5,0.4
vanilla_ga,13,ShapeFactor2,2,5,0.4
vanilla_ga,2,MajorAxisLength,1,5,0.2
vanilla_ga,6,ConvexArea,1,5,0.2
vanilla_ga,7,EquivDiameter,1,5,0.2
vanilla_ga,14,ShapeFactor3,0,5,0.0
