seed,ga_variant,generation,nevals,avg_fitness,max_fitness
42,vanilla_ga,0,20,0.8989655218476033,0.9342184729706746
42,vanilla_ga,1,14,0.9136170208060536,0.9351131188823808
42,vanilla_ga,2,18,0.9330557982318389,0.9353629702744465
42,vanilla_ga,3,18,0.9330417024209886,0.9352702395866694
42,vanilla_ga,4,12,0.9341971021710253,0.9357016998956607
42,vanilla_ga,5,17,0.9348856305228626,0.9357016998956607
42,vanilla_ga,6,15,0.9352923924288898,0.9357016998956607
42,vanilla_ga,7,20,0.9355432672824164,0.935840048734001
42,vanilla_ga,8,20,0.9356943230316318,0.935840048734001
42,vanilla_ga,9,17,0.9356049045281708,0.935840048734001
42,vanilla_ga,10,16,0.9357896648633715,0.935840048734001
42,improved_ga,0,20,0.8989655218476033,0.9342184729706746
42,improved_ga,1,15,0.9319274591188854,0.9356329592028858
42,improved_ga,2,14,0.9342173931131702,0.9356329592028858
42,improved_ga,3,14,0.9353370867533917,0.9360345333424634
42,improved_ga,4,18,0.9356541796043956,0.9361497527187869
42,improved_ga,5,16,0.9357497601801754,0.9361497527187869
42,improved_ga,6,20,0.9138371878471421,0.9361497527187869
42,improved_ga,7,18,0.9345030897304142,0.9361497527187869
42,improved_ga,8,17,0.9353600834566237,0.9361497527187869
42,improved_ga,9,16,0.936121408374453,0.9361497527187869
42,improved_ga,10,20,0.9361497527187869,0.9361497527187869
52,vanilla_ga,0,20,0.9038089036192367,0.9350500488220846
52,vanilla_ga,1,18,0.932630349696286,0.9352295701305294
52,vanilla_ga,2,11,0.9341227916330302,0.935536711242955
52,vanilla_ga,3,16,0.9350382585714623,0.935536711242955
52,vanilla_ga,4,15,0.9353537267086878,0.9358373902774689
52,vanilla_ga,5,16,0.9354743524510919,0.9362948324272272
52,vanilla_ga,6,12,0.9356329445397666,0.9362948324272272
52,vanilla_ga,7,13,0.935486802765902,0.9362948324272272
52,vanilla_ga,8,16,0.9361985514294455,0.9362948324272272
52,vanilla_ga,9,14,0.9362948324272271,0.9362948324272272
