seed,ga_variant,feature_index,feature_name,selected
42,vanilla_ga,0,Area,1
42,vanilla_ga,1,Perimeter,0
42,vanilla_ga,2,MajorAxisLength,0
42,vanilla_ga,3,MinorAxisLength,1
42,vanilla_ga,4,AspectRation,1
42,vanilla_ga,5,Eccentricity,1
42,vanilla_ga,6,ConvexArea,0
42,vanilla_ga,7,EquivDiameter,1
42,vanilla_ga,8,Extent,1
42,vanilla_ga,9,Solidity,1
42,vanilla_ga,10,roundness,1
42,vanilla_ga,11,Compactness,0
42,vanilla_ga,12,ShapeFactor1,0
42,vanilla_ga,13,ShapeFactor2,0
42,vanilla_ga,14,ShapeFactor3,0
42,vanilla_ga,15,ShapeFactor4,1
42,improved_ga,0,Area,0
42,improved_ga,1,Perimeter,0
42,improved_ga,2,MajorAxisLength,0
42,improved_ga,3,MinorAxisLength,0
42,improved_ga,4,AspectRation,1
42,improved_ga,5,Eccentricity,0
42,improved_ga,6,ConvexArea,0
42,improved_ga,7,EquivDiameter,1
42,improved_ga,8,Extent,1
42,improved_ga,9,Solidity,1
42,improved_ga,10,roundness,1
42,improved_ga,11,Compactness,0
42,improved_ga,12,ShapeFactor1,1
42,improved_ga,13,ShapeFactor2,1
42,improved_ga,14,ShapeFactor3,0
42,improved_ga,15,ShapeFactor4,1
52,vanilla_ga,0,Area,0
52,vanilla_ga,1,Perimeter,0
52,vanilla_ga,2,MajorAxisLength,0
52,vanilla_ga,3,MinorAxisLength,1
52,vanilla_ga,4,AspectRation,0
52,vanilla_ga,5,Eccentricity,0
52,vanilla_ga,6,ConvexArea,0
52,vanilla_ga,7,EquivDiameter,0
52,vanilla_ga,8,Extent,1
52,vanilla_ga,9,Solidity,1
52,vanilla_ga,10,roundness,1
52,vanilla_ga,11,Compactness,1
52,vanilla_ga,12,ShapeFactor1,1
52,vanilla_ga,13,ShapeFactor2,1
52,vanilla_ga,14,ShapeFactor3,0
52,vanilla_ga,15,ShapeFactor4,1
52,improved_ga,0,Area,1
52,improved_ga,1,Perimeter,0
52,improved_ga,2,MajorAxisLength,0
52,improved_ga,3,MinorAxisLength,1
52,improved_ga,4,AspectRation,0
52,improved_ga,5,Eccentricity,0
52,improved_ga,6,ConvexArea,1
52,improved_ga,7,EquivDiameter,0
52,improved_ga,8,Extent,1
52,improved_ga,9,Solidity,1
