classifier,method,mean,std,min,max,count
Logistic Regression,nca,0.9332412,0.0036360889290555226,0.928961,0.937469,5
Logistic Regression,vanilla_ga,0.9324016,0.0033071156314831386,0.92928,0.937477,5
Logistic Regression,improved_ga,0.9323816,0.0036884979734304033,0.929115,0.938028,5
Logistic Regression,baseline,0.931885,0.003197589639087571,0.928115,0.936193,5
Random Forest,nca,0.9346604,0.0029498906420408,0.929833,0.937525,5
Random Forest,improved_ga,0.9340814,0.0022961412848515857,0.931745,0.936936,5
Random Forest,vanilla_ga,0.933588,0.00429767914111792,0.928727,0.938175,5
Random Forest,baseline,0.9312184,0.0020869037591608993,0.928683,0.933128,5
SVM,improved_ga,0.9381788,0.00459684285134914,0.932517,0.943081,5
SVM,vanilla_ga,0.9375588,0.004666903705884676,0.930991,0.942243,5
SVM,baseline,0.9366148000000001,0.0036517425566433104,0.932162,0.94087,5
SVM,nca,0.9351230000000001,0.0045028544280267145,0.928668,0.939932,5
