method,classifier,macro_f1,accuracy,precision_macro,recall_macro,fit_time_seconds,predict_time_seconds,total_time_seconds
baseline,Logistic Regression,0.931885,0.9198677999999999,0.9335077999999999,0.930747,0.5045683999999999,0.0006944000000000001,0.5052632
improved_ga,Logistic Regression,0.9323816,0.920382,0.933874,0.9313124,0.21165320000000004,0.00062,74.67741579999999
nca,Logistic Regression,0.9332412,0.9213368,0.934422,0.9324252,10.697191,0.0006624,256.9439424
vanilla_ga,Logistic Regression,0.9324016,0.9204554,0.9340814,0.9311994,0.17483279999999998,0.0005404,77.3289308
baseline,Random Forest,0.9312184,0.9195738,0.933124,0.9295897999999999,11.3862622,0.07264079999999999,11.458903
improved_ga,Random Forest,0.9340814,0.9225118,0.9360036,0.9324790000000001,7.1070458,0.0718876,81.644076
nca,Random Forest,0.9346604,0.9235402,0.9366298000000001,0.9330158000000001,5.9658224,0.0746808,252.2865926
vanilla_ga,Random Forest,0.933588,0.9220710000000001,0.93544,0.9320312,7.5954754,0.072585,84.8216184
baseline,SVM,0.9366148000000001,0.924495,0.9388194000000001,0.9348013999999999,0.5961106,0.3341752,0.9302856
improved_ga,SVM,0.9381788,0.9264048,0.9399559999999999,0.9367162,0.554884,0.3313632,75.35139
nca,SVM,0.9351230000000001,0.9233931999999999,0.9372158,0.9333591999999999,0.4244456,0.3016552,246.9721904
vanilla_ga,SVM,0.9375588,0.9255234,0.9394758,0.935965,0.5641306,0.3333062,78.0509946
