method,classifier,macro_f1,accuracy,precision_macro,recall_macro,fit_time_seconds,predict_time_seconds,total_time_seconds
baseline,Logistic Regression,0.003197589639087571,0.003757409706167217,0.0034367509656650797,0.0030692938112862624,0.020096806271146662,1.312630945848833e-05,0.020102570412760694
improved_ga,Logistic Regression,0.0036884979734304033,0.003950278534483398,0.0037945821245560156,0.0036520606922668,0.0492853572291,5.132738060723535e-05,3.290362110127803
nca,Logistic Regression,0.0036360889290555226,0.003657554606564292,0.003777704726417882,0.0035961271112128195,3.152502259588643,6.7262916975106e-05,88.39693530447191
vanilla_ga,Logistic Regression,0.0033071156314831386,0.003361783202409064,0.003316056211827534,0.003429484407312573,0.03448998844882382,6.422071316950627e-05,5.239329390925203
baseline,Random Forest,0.0020869037591608993,0.0031050405311364147,0.001479533372384668,0.0029752217900519532,0.07561323847184412,0.002449676141860389,0.07778123112293885
improved_ga,Random Forest,0.0022961412848515857,0.0025837084200814966,0.0014702987111468214,0.003385900101893175,1.4709023560164358,0.002764991103059825,4.387091020351698
nca,Random Forest,0.0029498906420408,0.0028135860925161097,0.0031732734990857314,0.003156403681407046,0.10592839188480103,0.0019012973728483418,87.4905374144713
vanilla_ga,Random Forest,0.00429767914111792,0.004582291948359434,0.003601020341514302,0.005198340716036236,1.5192994882439403,0.0019024996714848584,4.965399756647218
baseline,SVM,0.0036517425566433104,0.0034898229181435456,0.003041585902124065,0.004387404335139389,0.02027234084411565,0.004443660113014947,0.019195019557166383
improved_ga,SVM,0.00459684285134914,0.004569041770437188,0.00413191009098696,0.005116705991162654,0.013949866450973658,0.007107701752324712,3.253386601702063
nca,SVM,0.0045028544280267145,0.004472230785637072,0.004530662390865195,0.004663163861585829,0.00967398967851423,0.005206191285383223,87.41202221200568
vanilla_ga,SVM,0.004666903705884676,0.00490939398500468,0.003949520945633797,0.005423320707832044,0.024403253395807692,0.01138875534024682,5.25948938226781
